x,z,alpha,beta0,beta1,beta2,d_alpha_dt,d_beta0_dt,d_beta1_dt,d_beta2_dt
-4.83673,7.28571,0.731269,-0.0555758,0.0068561,0.0893552,0.0428592,0.0160145,-0.00277412,-0.0105697
-4.83673,7.40816,0.735081,-0.0541606,0.00661223,0.0884111,0.0418572,0.0154386,-0.0026465,-0.01041
-4.83673,7.53061,0.738804,-0.052796,0.00637952,0.0874814,0.0408813,0.0148886,-0.00252596,-0.0102508
-4.83673,7.65306,0.74244,-0.0514799,0.00615735,0.086566,0.0399313,0.0143633,-0.00241205,-0.0100924
-4.83673,7.77551,0.745992,-0.0502099,0.00594516,0.0856647,0.0390066,0.0138613,-0.00230434,-0.00993498
-4.83673,7.89796,0.749462,-0.0489842,0.0057424,0.0847776,0.0381069,0.0133815,-0.00220244,-0.00977887
-4.83673,8.02041,0.752852,-0.0478006,0.00554856,0.0839045,0.0372316,0.0129225,-0.00210598,-0.00962422
-4.83673,8.14286,0.756165,-0.0466575,0.00536317,0.0830452,0.0363801,0.0124835,-0.00201463,-0.0094712
-4.83673,8.26531,0.759402,-0.045553,0.00518578,0.0821996,0.035552,0.0120633,-0.00192808,-0.00931995
-4.83673,8.38776,0.762565,-0.0444856,0.00501598,0.0813676,0.0347468,0.011661,-0.00184602,-0.00917057
-4.83673,8.5102,0.765657,-0.0434536,0.00485337,0.0805489,0.0339637,0.0112756,-0.00176819,-0.00902318
-4.83673,8.63265,0.768679,-0.0424555,0.00469759,0.0797433,0.0332024,0.0109064,-0.00169433,-0.00887785
-4.83673,8.7551,0.771634,-0.0414899,0.00454828,0.0789508,0.0344198,0.0119593,-0.00181318,-0.0105422
-4.83673,8.87755,0.774523,-0.0405556,0.00440512,0.078171,0.0200003,0.00177553,-0.000424339,0.00225112
-4.83673,9,0.775234,-0.0411703,0.0044719,0.079356,0.019921,0.00179843,-0.000430331,0.00229285
-4.71429,-9,0.773873,-0.0405674,0.00443788,-0.080268,-0.0202202,-0.00182876,0.000434548,0.00219868
-4.71429,-8.87755,0.773155,-0.039962,0.00437166,-0.0790702,-0.0203009,-0.00180546,0.000428505,0.0021581
-4.71429,-8.7551,0.770219,-0.0408924,0.00451501,-0.0798795,-0.0349885,-0.0119037,0.00181543,-0.0109159
-4.71429,-8.63265,0.767215,-0.0418542,0.0046646,-0.0807029,-0.0337583,-0.0108671,0.00169793,-0.00922767
-4.71429,-8.5102,0.764142,-0.0428489,0.00482075,-0.0815406,-0.0345432,-0.0112404,0.00177285,-0.00938797
-4.71429,-8.38776,0.760997,-0.043878,0.00498383,-0.0823928,-0.0353509,-0.0116302,0.00185186,-0.0095511
-4.71429,-8.26531,0.757778,-0.0449429,0.00515422,-0.0832599,-0.036182,-0.0120376,0.00193523,-0.00971703
-4.71429,-8.14286,0.754483,-0.0460453,0.00533232,-0.084142,-0.037037,-0.0124634,0.00202324,-0.0098857
-4.71429,-8.02041,0.751111,-0.0471869,0.00551855,-0.0850394,-0.0379167,-0.0129088,0.00211621,-0.010057
-4.71429,-7.89796,0.747658,-0.0483695,0.00571339,-0.0859523,-0.0388216,-0.0133747,0.00221446,-0.010231
-4.71429,-7.77551,0.744122,-0.049595,0.00591733,-0.0868811,-0.0397523,-0.0138624,0.00231835,-0.0104074
-4.71429,-7.65306,0.740501,-0.0508654,0.00613088,-0.0878257,-0.0407093,-0.014373,0.00242827,-0.0105862
-4.71429,-7.53061,0.736793,-0.0521829,0.00635461,-0.0887866,-0.0416932,-0.0149078,0.00254463,-0.0107672
-4.71429,-7.40816,0.732996,-0.0535496,0.00658912,-0.0897639,-0.0427044,-0.0154684,0.00266788,-0.0109502
-4.71429,-7.28571,0.729106,-0.054968,0.00683505,-0.0907577,-0.0437434,-0.016056,0.00279852,-0.0111349
-4.71429,-7.16327,0.725121,-0.0564405,0.00709309,-0.0917682,-0.0448106,-0.0166724,0.00293707,-0.0113212
-4.71429,-7.04082,0.721039,-0.0579699,0.00736397,-0.0927956,-0.0459064,-0.0173192,0.00308409,-0.0115088
-4.71429,-6.91837,0.716857,-0.059559,0.0076485,-0.0938398,-0.047031,-0.0179982,0.0032402,-0.0116971
-4.71429,-6.79592,0.712573,-0.0612106,0.0079475,-0.0949011,-0.0481846,-0.0187113,0.00340608,-0.0118859
-4.71429,-6.67347,0.708183,-0.0629281,0.00826191,-0.0959793,-0.0493674,-0.0194607,0.00358244,-0.0120747
-4.71429,-6.55102,0.703686,-0.0647147,0.00859268,-0.0970745,-0.0505792,-0.0202484,0.00377008,-0.0122628
-4.71429,-6.42857,0.699078,-0.066574,0.00894088,-0.0981866,-0.0518199,-0.0210768,0.00396985,-0.0124497
-4.71429,-6.30612,0.694357,-0.0685098,0.00930765,-0.0993154,-0.0530892,-0.0219485,0.00418268,-0.0126346
-4.71429,-6.18367,0.689521,-0.0705261,0.00969419,-0.100461,-0.0543867,-0.022866,0.00440959,-0.0128166
-4.71429,-6.06122,0.684567,-0.0726272,0.0101018,-0.101622,-0.0557115,-0.0238323,0.00465167,-0.0129948
-4.71429,-5.93878,0.679492,-0.0748175,0.010532,-0.1028,-0.0570628,-0.0248503,0.00491012,-0.013168
-4.71429,-5.81633,0.674295,-0.0771019,0.0109862,-0.103992,-0.0584393,-0.0259235,0.00518625,-0.013335
-4.71429,-5.69388,0.668972,-0.0794855,0.0114661,-0.1052,-0.0598395,-0.0270552,0.00548149,-0.0134942
-4.71429,-5.57143,0.663523,-0.0819737,0.0119735,-0.106421,-0.0612617,-0.0282491,0.00579739,-0.0136442
-4.71429,-5.44898,0.657945,-0.0845723,0.0125103,-0.107655,-0.0627035,-0.0295092,0.00613564,-0.0137828
-4.71429,-5.32653,0.652236,-0.0872874,0.0130786,-0.108901,-0.0641622,-0.0308398,0.00649808,-0.0139079
-4.71429,-5.20408,0.646395,-0.0901257,0.0136807,-0.110158,-0.0656347,-0.0322453,0.00688675,-0.0140171
-4.71429,-5.08163,0.640421,-0.093094,0.0143191,-0.111424,-0.0671173,-0.0337306,0.00730384,-0.0141074
-4.71429,-4.95918,0.634314,-0.0961997,0.0149963,-0.112697,-0.0686056,-0.0353007,0.00775175,-0.0141757
-4.71429,-4.83673,0.628072,-0.0994508,0.0157154,-0.113975,-0.0700946,-0.0369611,0.0082331,-0.0142183
-4.71429,-4.71429,0.621697,-0.102856,0.0164794,-0.115255,-0.0715785,-0.0387176,0.00875074,-0.0142309
-4.71429,-4.59184,0.615188,-0.106423,0.0172917,-0.116535,-0.0730508,-0.0405761,0.00930779,-0.0142087
-4.71429,-4.46939,0.608548,-0.110163,0.0181561,-0.117812,-0.0745039,-0.0425432,0.00990761,-0.0141462
-4.71429,-4.34694,0.601779,-0.114084,0.0190765,-0.11908,-0.0759293,-0.0446255,0.0105539,-0.0140371
-4.71429,-4.22449,0.594882,-0.118199,0.0200573,-0.120337,-0.0773174,-0.0468301,0.0112505,-0.0138743
-4.71429,-4.10204,0.587863,-0.122518,0.0211032,-0.121576,-0.0786575,-0.0491642,0.0120019,-0.0136496
-4.71429,-3.97959,0.580726,-0.127053,0.0222194,-0.122791,-0.0799375,-0.0516355,0.0128126,-0.0133536
-4.71429,-3.85714,0.573476,-0.131816,0.0234114,-0.123977,-0.081144,-0.0542516,0.0136875,-0.0129758
-4.71429,-3.73469,0.566122,-0.136822,0.0246853,-0.125124,-0.0822624,-0.0570203,0.0146319,-0.0125037
-4.71429,-3.61224,0.558672,-0.142085,0.0260474,-0.126224,-0.0832762,-0.0599492,0.0156513,-0.0119236
-4.71429,-3.4898,0.551136,-0.147618,0.0275049,-0.127267,-0.0841678,-0.0630459,0.0167514,-0.0112195
-4.71429,-3.36735,0.543526,-0.153438,0.0290653,-0.12824,-0.0849179,-0.066317,0.0179383,-0.0103732
-4.71429,-3.2449,0.535856,-0.159561,0.0307366,-0.129129,-0.0855056,-0.0697688,0.0192178,-0.00936391
-4.71429,-3.12245,0.528141,-0.166002,0.0325274,-0.129919,-0.0859086,-0.0734058,0.0205959,-0.0081679
-4.71429,-3,0.520399,-0.172779,0.034447,-0.130593,-0.0861032,-0.0772307,0.0220781,-0.00675815
-4.71429,-2.87755,0.512649,-0.179909,0.0365047,-0.131129,-0.0860647,-0.0812435,0.0236691,-0.00510388
-4.71429,-2.7551,0.504915,-0.187409,0.0387108,-0.131503,-0.0857673,-0.0854404,0.0253727,-0.00317019
-4.71429,-2.63265,0.49722,-0.195294,0.0410753,-0.13169,-0.0851849,-0.0898122,0.0271909,-0.000917586
-4.71429,-2.5102,0.489591,-0.20358,0.0436085,-0.131657,-0.0842913,-0.094343,0.029123,0.00169838
-4.71429,-2.38776,0.482057,-0.21228,0.0463207,-0.131372,-0.083061,-0.0990074,0.0311649,0.0047274
-4.71429,-2.26531,0.474651,-0.221404,0.0492212,-0.130792,-0.0814701,-0.103768,0.0333077,0.00822446
-4.71429,-2.14286,0.467404,-0.230959,0.0523185,-0.129875,-0.0794974,-0.108572,0.0355354,0.0122497
-4.71429,-2.02041,0.460353,-0.240946,0.0556193,-0.12857,-0.0771255,-0.113345,0.0378236,0.0168675
-4.71429,-1.89796,0.453534,-0.251357,0.0591275,-0.126819,-0.0743423,-0.11799,0.0401362,0.0221453
-4.71429,-1.77551,0.446984,-0.262176,0.062843,-0.124562,-0.071143,-0.122376,0.0424226,0.0281505
-4.71429,-1.65306,0.44074,-0.273372,0.0667606,-0.121729,-0.0675316,-0.126334,0.044614,0.0349465
-4.71429,-1.53061,0.43484,-0.284897,0.0708678,-0.118246,-0.0635225,-0.129653,0.04662,0.0425862
-4.71429,-1.40816,0.429317,-0.296682,0.075143,-0.114037,-0.0591429,-0.132072,0.0483255,0.0511028
-4.71429,-1.28571,0.424204,-0.308633,0.079553,-0.109021,-0.054433,-0.133276,0.0495888,0.0604978
-4.71429,-1.16327,0.419528,-0.320624,0.0840506,-0.103123,-0.049446,-0.132905,0.0502422,0.0707254
-4.71429,-1.04082,0.41531,-0.332497,0.0885726,-0.0962697,-0.044247,-0.130564,0.0500974,0.0816749
-4.71429,-0.918367,0.411567,-0.344055,0.0930383,-0.0884058,-0.0389089,-0.125847,0.0489557,0.0931526
-4.71429,-0.795918,0.408309,-0.355067,0.0973492,-0.0794956,-0.0335069,-0.118374,0.0466266,0.104867
